M860A          MODECRAFT FASHIONS            ACCOUNTS PAYABLE DEPT.        1830 ROUTE 130N               BURLINGTON       NJ08016    0053092470122104  34800.00  12N/10 EOM + 60                 801773301      
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    5028092517122104    156.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    5097092518122104    141.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    3486092519122104    181.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2932092520122104    167.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2916092521122104    196.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2166092522122104    151.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2160092523122104    119.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1663092524122104    140.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1680092525122104    235.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    5494092526122104   2317.00   6N/60                          9506050016     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    5492092527122104   2318.00   6N/60                          9506050016     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2228092528122104    184.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2118092529122104    184.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2222092530122104    127.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2091092531122104    220.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2355092532122104    175.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1300092533122104    171.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2371092534122104    160.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2387092535122104    152.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2146092536122104    157.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1297092537122104    211.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2088092538122104    175.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2074092539122104    102.75   6N/60                          4851214746     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2479092540122104    103.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1350092541122104    102.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1347092542122104     56.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1344092543122104    104.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1351092544122104    180.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1342092545122104    119.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1336092546122104    100.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1369092547122104     62.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1362092548122104    106.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2171092549122104     79.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2184092550122104    103.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2195092551122104     56.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0008092552122104     95.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0024092553122104     88.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2492092554122104     85.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0003092555122104     94.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0395092556122104     95.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0013092557122104     70.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0028092558122104    124.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0043092559122104     95.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0102092560122104     77.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0004092561122104     46.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0103092562122104     78.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0112092563122104     72.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1335092564122104     65.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1711092565122104     77.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0027092566122104     46.50   6N/60                          4851214637     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0427092567122104     49.50   6N/60                          4851214637     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0024092568122104     69.75   6N/60                          4851214637     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0090092569122104     87.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0153092570122104    164.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2814092571122104    125.00   6N/60                          4851214637     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2809092572122104     48.50   6N/60                          4851214637     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2795092573122104     65.00   6N/60                          4851214637     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0160092574122104     78.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0161092575122104     62.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0162092576122104     54.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0149092577122104     55.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0381092578122104     95.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0379092579122104     62.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0066092580122104     95.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0071092581122104     70.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0068092582122104     87.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0135092583122104     92.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0284092584122104     88.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0285092585122104     64.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0027092586122104     62.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0079092587122104     72.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2476092588122104    101.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1607092589122104    153.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0297092590122104    101.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0305092591122104     86.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0308092592122104     88.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1617092593122104    127.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2799092594122104     47.50   6N/60                          4851214637     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2838092595122104    108.50   6N/60                          4851214637     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0022092596122104     63.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2627092597122104    112.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0131092598122104     88.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1619092599122104    111.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2261092600122104    110.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2282092601122104     54.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2284092602122104     97.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2264092603122104     77.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2286092604122104     65.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2285092605122104     54.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2612092606122104    141.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2641092607122104     57.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2715092608122104    120.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2716092609122104     62.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2724092610122104     54.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2725092611122104     96.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2323092612122104     87.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2600092613122104    124.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2586092614122104    113.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2582092615122104    125.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2581092616122104     72.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2648092617122104    181.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2599092618122104    102.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2595092619122104    151.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2674092620122104     77.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2659092621122104    116.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2370092622122104     87.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2697092623122104     72.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    0148092624122104     55.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2704092625122104     78.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2497092626122104     62.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2503092627122104    110.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2505092628122104     96.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2502092629122104    181.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2515092630122104    163.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2158092631122104    147.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2159092632122104    112.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2732092633122104    108.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2734092634122104    118.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2735092635122104     55.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2748092636122104     58.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1702092637122104    103.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1687092638122104     95.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2232092639122104    102.75   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2109092640122104     88.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2086092641122104     64.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2056092642122104    119.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1374092643122104    125.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1705092644122104    121.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1688092645122104     55.25   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1388092646122104     65.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    1380092647122104    124.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2856092648122104     93.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2857092649122104     77.50   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2872092650122104     67.00   6N/60                          4851214745     
W149A          WALMART STORES INC            702 S W 8TH ST                INVOICE CONTROL 8002          BENTONVILLE      AR72716    2110092651122104    125.00   6N/60                          4851214745     
